Metric,Value
timing__unannotated_net__count,416
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_3v30,3.29907
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_3v30,3.29963
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_3v30,0.000925145
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_3v30,0.000640596
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_3v30,0.000329408
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_3v30,0.000640596
design_powergrid__voltage__worst,0.000640596
design_powergrid__voltage__worst__net:VDD,3.29907
design_powergrid__drop__worst,0.000925145
design_powergrid__drop__worst__net:VDD,0.000925145
design_powergrid__voltage__worst__net:VSS,0.000640596
design_powergrid__drop__worst__net:VSS,0.000640596
ir__voltage__worst,3.29999999999999982236431605997495353221893310546875
ir__drop__avg,0.0003730000000000000134024735753968116114265285432338714599609375
ir__drop__worst,0.0009250000000000000409394740330526474281214177608489990234375
design__xor_difference__count,0
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
