Metric,Value
design__instance__count__class:antenna_cell,119
design__instance__area__class:antenna_cell,522.458
antenna_diodes_count,99
route__net,32156
route__net__special,2
route__drc_errors__iter:0,18125
route__wirelength__iter:0,2479991
route__drc_errors__iter:1,7661
route__wirelength__iter:1,2466921
route__drc_errors__iter:2,6973
route__wirelength__iter:2,2463234
route__drc_errors__iter:3,983
route__wirelength__iter:3,2459698
route__drc_errors__iter:4,475
route__wirelength__iter:4,2459307
route__drc_errors__iter:5,124
route__wirelength__iter:5,2459426
route__drc_errors__iter:6,42
route__wirelength__iter:6,2459371
route__drc_errors__iter:7,0
route__wirelength__iter:7,2459276
route__drc_errors,0
route__wirelength,2459276
route__vias,241228
route__vias__singlecut,241228
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1912.65
design__instance__count__class:fill_cell,26026
design__instance__area__class:fill_cell,195601
timing__unannotated_net__count__corner:nom_tt_025C_3v30,413
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:min_ff_n40C_3v60,413
timing__unannotated_net_filtered__count__corner:min_ff_n40C_3v60,0
timing__unannotated_net__count__corner:max_ss_125C_3v00,413
timing__unannotated_net_filtered__count__corner:max_ss_125C_3v00,0
timing__unannotated_net__count,413
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_3v30,3.29904
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_3v30,3.29963
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_3v30,0.000959704
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_3v30,0.000701518
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_3v30,0.000315941
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_3v30,0.000701518
design_powergrid__voltage__worst,0.000701518
design_powergrid__voltage__worst__net:VDD,3.29904
design_powergrid__drop__worst,0.000959704
design_powergrid__drop__worst__net:VDD,0.000959704
design_powergrid__voltage__worst__net:VSS,0.000701518
design_powergrid__drop__worst__net:VSS,0.000701518
ir__voltage__worst,3.29999999999999982236431605997495353221893310546875
ir__drop__avg,0.0003719999999999999890955282300097906045266427099704742431640625
ir__drop__worst,0.000960000000000000024320823133194835463655181229114532470703125
design__xor_difference__count,0
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
